2018-09-03 00:00:00,82.5
2018-09-04 00:00:00,80.8
2018-09-05 00:00:00,82.0
2018-09-06 00:00:00,76.9
2018-09-07 00:00:00,76.8
2018-09-10 00:00:00,69.1
2018-09-11 00:00:00,63.0
2018-09-12 00:00:00,64.0
2018-09-13 00:00:00,60.9
2018-09-14 00:00:00,60.5
2018-09-17 00:00:00,63.0
2018-09-18 00:00:00,62.7
2018-09-19 00:00:00,64.2
2018-09-20 00:00:00,63.4
2018-09-21 00:00:00,62.6
2018-09-25 00:00:00,63.9
2018-09-26 00:00:00,65.2
2018-09-27 00:00:00,64.3
2018-09-28 00:00:00,64.9
2018-10-01 00:00:00,63.6
2018-10-02 00:00:00,64.7
2018-10-03 00:00:00,65.0
2018-10-04 00:00:00,65.1
2018-10-05 00:00:00,63.6
2018-10-08 00:00:00,64.6
2018-10-09 00:00:00,61.9
2018-10-11 00:00:00,57.0
2018-10-12 00:00:00,54.5
2018-10-15 00:00:00,55.8
2018-10-16 00:00:00,57.6
2018-10-17 00:00:00,58.0
2018-10-18 00:00:00,56.1
2018-10-19 00:00:00,54.1
2018-10-22 00:00:00,54.6
2018-10-23 00:00:00,55.9
2018-10-24 00:00:00,55.9
2018-10-25 00:00:00,54.2
2018-10-26 00:00:00,54.5
2018-10-29 00:00:00,51.0
2018-10-30 00:00:00,49.0
2018-10-31 00:00:00,50.5
2018-11-01 00:00:00,53.5
2018-11-02 00:00:00,55.0
2018-11-05 00:00:00,55.6
2018-11-06 00:00:00,55.5
2018-11-07 00:00:00,53.5
2018-11-08 00:00:00,55.8
2018-11-09 00:00:00,55.0
2018-11-12 00:00:00,53.0
2018-11-13 00:00:00,52.3
2018-11-14 00:00:00,54.2
2018-11-15 00:00:00,54.2
2018-11-16 00:00:00,56.8
2018-11-19 00:00:00,55.1
2018-11-20 00:00:00,55.5
2018-11-21 00:00:00,55.4
2018-11-22 00:00:00,54.8
2018-11-23 00:00:00,54.3
2018-11-26 00:00:00,54.0
2018-11-27 00:00:00,54.7
2018-11-28 00:00:00,55.6
2018-11-29 00:00:00,57.2
2018-11-30 00:00:00,56.7
2018-12-03 00:00:00,58.0
2018-12-04 00:00:00,60.3
2018-12-05 00:00:00,58.6
2018-12-06 00:00:00,58.8
2018-12-07 00:00:00,56.0
2018-12-10 00:00:00,55.2
2018-12-11 00:00:00,55.0
2018-12-12 00:00:00,54.6
2018-12-13 00:00:00,54.6
2018-12-14 00:00:00,54.3
2018-12-17 00:00:00,53.0
2018-12-18 00:00:00,53.2
2018-12-19 00:00:00,52.3
2018-12-20 00:00:00,52.0
2018-12-21 00:00:00,50.0
2018-12-22 00:00:00,50.0
2018-12-24 00:00:00,49.95
2018-12-25 00:00:00,50.6
2018-12-26 00:00:00,51.1
2018-12-27 00:00:00,50.7
2018-12-28 00:00:00,50.5
2019-01-02 00:00:00,50.4
2019-01-03 00:00:00,50.4
2019-01-04 00:00:00,49.0
2019-01-07 00:00:00,49.1
2019-01-08 00:00:00,48.6
2019-01-09 00:00:00,53.1
2019-01-10 00:00:00,53.3
2019-01-11 00:00:00,52.4
2019-01-14 00:00:00,51.0
2019-01-15 00:00:00,50.5
2019-01-16 00:00:00,51.0
2019-01-17 00:00:00,50.7
2019-01-18 00:00:00,51.1
2019-01-21 00:00:00,51.6
2019-01-22 00:00:00,51.0
2019-01-23 00:00:00,51.1
2019-01-24 00:00:00,51.4
2019-01-25 00:00:00,55.0
2019-01-28 00:00:00,61.0
2019-01-29 00:00:00,62.6
2019-01-30 00:00:00,65.4
2019-02-11 00:00:00,67.5
2019-02-12 00:00:00,71.4
2019-02-13 00:00:00,71.8
2019-02-14 00:00:00,72.2
2019-02-15 00:00:00,70.3
2019-02-18 00:00:00,68.0
2019-02-19 00:00:00,68.9
2019-02-20 00:00:00,69.6
2019-02-21 00:00:00,74.0
2019-02-22 00:00:00,69.0
2019-02-25 00:00:00,68.6
2019-02-26 00:00:00,68.9
2019-02-27 00:00:00,68.7
2019-03-04 00:00:00,68.6
2019-03-05 00:00:00,67.9
2019-03-06 00:00:00,67.9
2019-03-07 00:00:00,68.2
2019-03-08 00:00:00,67.0
2019-03-11 00:00:00,67.2
2019-03-12 00:00:00,67.0
2019-03-13 00:00:00,69.9
2019-03-14 00:00:00,69.1
2019-03-15 00:00:00,70.0
2019-03-18 00:00:00,70.1
2019-03-19 00:00:00,72.0
2019-03-20 00:00:00,70.8
2019-03-21 00:00:00,71.5
2019-03-22 00:00:00,72.3
2019-03-25 00:00:00,68.1
2019-03-26 00:00:00,69.5
2019-03-27 00:00:00,67.8
2019-03-28 00:00:00,67.9
2019-03-29 00:00:00,69.4
2019-04-01 00:00:00,68.0
2019-04-02 00:00:00,68.6
2019-04-03 00:00:00,73.0
2019-04-08 00:00:00,73.0
2019-04-09 00:00:00,75.7
2019-04-10 00:00:00,71.0
2019-04-11 00:00:00,73.6
2019-04-12 00:00:00,72.5
2019-04-15 00:00:00,68.5
2019-04-16 00:00:00,72.6
2019-04-17 00:00:00,74.2
2019-04-18 00:00:00,78.1
2019-04-19 00:00:00,75.2
2019-04-22 00:00:00,74.8
2019-04-23 00:00:00,75.9
2019-04-24 00:00:00,73.8
2019-04-25 00:00:00,72.7
2019-04-26 00:00:00,72.6
2019-04-29 00:00:00,71.7
2019-04-30 00:00:00,69.0
2019-05-02 00:00:00,70.9
2019-05-03 00:00:00,70.2
2019-05-06 00:00:00,69.0
2019-05-07 00:00:00,69.2
2019-05-08 00:00:00,69.1
2019-05-09 00:00:00,68.5
2019-05-10 00:00:00,67.8
2019-05-13 00:00:00,65.0
2019-05-14 00:00:00,60.0
2019-05-15 00:00:00,61.7
2019-05-16 00:00:00,62.6
2019-05-17 00:00:00,61.0
2019-05-20 00:00:00,60.2
2019-05-21 00:00:00,58.1
2019-05-22 00:00:00,61.0
2019-05-23 00:00:00,59.3
2019-05-24 00:00:00,58.8
2019-05-27 00:00:00,58.6
2019-05-28 00:00:00,59.5
2019-05-29 00:00:00,59.5
2019-05-30 00:00:00,59.8
2019-05-31 00:00:00,60.4
